Fea001|Fea002|Fea003|Fea004|Fea005|Fea006|Fea007|Fea008|Fea009|Fea010|Fea011|Fea012|Mem1|Mem2
0|0|51|35|51|35|51|35|1|2|51|70|17.239189|11.857224
0|0|51|35|51|35|51|35|28|27|1428|945|17.221165|10.847664
0|0|51|35|51|35|51|35|27|26|1377|910|17.221165|10.847664
0|0|51|35|51|35|51|35|28|28|1428|980|17.221165|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.225265|11.128044000000001
0|0|51|35|51|35|51|35|17|16|867|560|17.228317|11.342286999999999
0|0|51|35|51|35|51|35|29|28|1479|980|17.235088|11.820221
0|0|51|35|51|35|51|35|30|30|1530|1050|17.247009|11.880493
0|0|51|35|51|35|51|35|21|21|1071|735|17.247009|11.880493
0|0|51|35|51|35|51|35|29|28|1479|980|17.247009|11.880493
0|0|51|35|51|35|51|35|40|41|2040|1435|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|25|26|1275|910|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|11|10|561|350|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|60|59|3060|2065|17.225456|11.281775999999999
0|0|0|0|0|0|0|0|0|0|0|0|17.234420999999998|11.665058
0|0|51|35|51|35|51|35|30|30|1530|1050|17.251396|11.873244999999999
0|0|51|35|51|35|51|35|27|26|1377|910|17.251396|11.873244999999999
0|0|51|35|51|35|51|35|58|57|2958|1995|17.251396|11.873244999999999
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|11.360455
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.219542999999998|11.290741
0|0|51|35|51|35|51|35|30|30|1530|1050|17.234420999999998|11.665058
0|0|51|35|51|35|51|35|30|30|1530|1050|17.262268|11.892319
0|0|51|35|51|35|51|35|60|60|3060|2100|17.262268|11.892319
0|0|51|35|51|35|51|35|30|30|1530|1050|17.262268|11.892319
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221069|10.856342
0|0|51|35|51|35|51|35|30|30|1530|1050|17.226982|11.321545
0|0|51|35|51|35|51|35|30|30|1530|1050|17.236328|11.786078999999999
0|0|51|35|51|35|51|35|30|30|1530|1050|17.274666|11.892414
0|0|51|35|51|35|51|35|30|30|1530|1050|17.274666|11.892414
0|0|51|35|51|35|51|35|30|30|1530|1050|17.274666|11.892414
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.230988|11.117554
0|0|51|35|51|35|51|35|30|30|1530|1050|17.230415|11.365223
0|0|51|35|51|35|51|35|30|30|1530|1050|17.235184|11.831474
0|0|51|35|51|35|51|35|30|30|1530|1050|17.276001|11.895561
0|0|51|35|51|35|51|35|30|30|1530|1050|17.276001|11.895561
0|0|51|35|51|35|51|35|30|30|1530|1050|17.276001|11.895561
0|0|51|35|51|35|51|35|30|30|1530|1050|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.227936|11.120796
0|0|51|35|51|35|51|35|30|30|1530|1050|17.228317|11.342286999999999
0|0|51|35|51|35|51|35|30|30|1530|1050|17.237282|11.807632
0|0|51|35|51|35|51|35|30|30|1530|1050|17.272758|11.898041000000001
0|0|51|35|51|35|51|35|30|30|1530|1050|17.272758|11.898041000000001
0|0|51|35|51|35|51|35|30|30|1530|1050|17.272758|11.898041000000001
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.84671
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.84671
0|0|51|35|51|35|51|35|30|30|1530|1050|17.221165|10.84671
0|0|51|35|51|35|51|35|30|30|1530|1050|17.226505|11.120796
0|0|51|35|51|35|51|35|30|30|1530|1050|17.226886999999998|11.321545
0|0|51|35|51|35|51|35|30|30|1530|1050|17.233372|11.768436
0|0|51|35|51|35|51|35|30|30|1530|1050|17.264366|11.891936999999999
0|0|51|35|51|35|51|35|30|30|1530|1050|17.264366|11.891936999999999
0|0|51|35|51|35|51|35|30|30|1530|1050|17.264366|11.891936999999999
0|0|51|35|51|53|51|35|30|31|1530|1103|17.219973|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.219973|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.219973|10.847664
0|0|51|35|51|35|51|35|30|30|1530|1050|17.219973|10.845757
0|0|51|35|51|35|51|35|30|30|1530|1050|17.229271|11.310005
0|0|51|35|51|35|51|35|10|11|510|385|17.236805|11.768532
0|0|51|35|51|35|51|35|17|16|867|560|17.269516|11.900902
0|0|51|35|51|35|51|35|29|29|1479|1015|17.269516|11.900902
0|0|51|35|51|35|51|35|27|26|1377|910|17.269516|11.900902
0|0|51|35|51|35|51|35|28|27|1428|945|17.269516|11.900902
0|0|51|35|51|35|51|35|60|60|3060|2100|17.219973|10.84671
0|0|51|35|51|35|51|35|30|30|1530|1050|17.219973|10.84671
0|0|51|35|51|35|51|35|9|10|459|350|17.219973|10.84671
